決心をする	と を 決心を こうと
返報をする	を んで 返報を 偸んで
返報をやる	を んで 返報を 偸んで
昼寝をする	を 昼寝を
昼寝をいる	を 昼寝を
昼寝をする	が を 彼が 昼寝を
迫害を加える	て を 追い廻して 迫害を
話をする	を 話を
投書をする	て へ を 投書を ほととぎすへ やって
話をする	に を 時に 話を
話をいる	に を 時に 話を
写生をする	を 写生を
昼寝をする	に の を 椽側に 昼寝を 例のごとく
昼寝をいる	に の を 椽側に 昼寝を 例のごとく
彩色を見る	を 彩色を
欠伸をする	から て て を して、 押し出して なったから、 欠伸を
報道をする	を 報道を
挨拶をする	を 挨拶を
御馳走を食う	と を 見ると 御馳走を
御馳走をてる	と を 見ると 御馳走を
問答をする	を 問答を
雑談をする	ながら は を 雑談を 寝転びながら 黒は
雑談をいる	ながら は を 雑談を 寝転びながら 黒は
自慢をする	を 自慢を
呼吸を飲み込む	から て を なってから 呼吸を
思案を定める	と は は を 吾輩は 若くはないと 思案を
御馳走をあるく	て を なって 御馳走を
御馳走を食う	を 御馳走を
放蕩をする	から が を ものだから○○が 放蕩を
放蕩をする	も より を 云うよりも 放蕩を
放蕩をする	を 放蕩を
写生を力む	に従って を 忠告に従って 写生を
写生をいる	に従って を 忠告に従って 写生を
写生をする	を 写生を
写生をする	から を 写生を しから
対話を聞く	で を 対話を 椽側で
注意を惹く	を 注意を
苦心をする	から を さっきから 苦心を
勉強をする	たり て と を 見ると 行列して 開いたり 勉強を
勉強をいる	たり て と を 見ると 行列して 開いたり 勉強を
存在を認める	から まで を 世間から 存在を 今まで
存在をられる	から まで を 世間から 存在を 今まで
談話を聞く	が を 牡蠣的主人が 談話を
勘定をする	を 勘定を
往来を通る	と を 見ると 往来を
間食をする	で を 間食を 忍んで
仕付を受ける	を 仕付を
仕付をある	を 仕付を
我儘をする	が を 他人が 我儘を
返事をする	と よ を 返事を 利かないのだよ」と
慰安を求める	に を 慰安を 遺書に
慰安をある	に を 慰安を 遺書に
喧嘩をする	で を 独りで 喧嘩を
喧嘩をいる	で を 独りで 喧嘩を
治療をうける	で は も を 治療を 時々は 豪傑でも
位置をする	とか ば を 位置を 癒らぬとか、 揉まなければ
議論をする	を 議論を
弁解をする	か を 弁解を かんとか
挨拶をする	から を 挨拶を 際だから、
晩酌を始める	から て を 晩酌を 見えて、 今夜から
遠征をする	に の まで を 遠征を 黒のように 肴屋まで
始末をつける	だけ で を あるだけで 始末を
御馳走を食べる	を 御馳走を
御馳走をかける	を 御馳走を
失敗をする	を 失敗を
話をする	たり て は を 時は 見たり、 訪問して 話を
挨拶をする	で に を 吾等猫属間で 挨拶を 御互に
返事をする	から と を 返事を しないから、 はいはいと
返事をいる	から と を 返事を しないから、 はいはいと
返事をする	と は を 吾輩は 「はあ」と 返事を
降参をする	から が て と ね を 「ええ」と 分っているんですがね」 仕方がないから 降参を
欠伸をする	て て と を 出すとまた して 思って 欠伸を
欠伸をいる	て て と を 出すとまた して 思って 欠伸を
挨拶をする	を 挨拶を
合図をする	か て と を して、 聞いたかと 合図を
形容をなさる	て に を 形容を 見て来たように
同情を表す	を 同情を
通信を読む	を 通信を
返事をする	て を 笑って 返事を
同情を表する	て と は を 同情を 御迷惑でしたろう」と 主人は 始めて
研究を続ける	て て を 組織しまして、 研究を 会合して
同情を持つ	に を 人物に 同情を
質問をする	が て を 質問を したが、 見えて
御馳走を致す	に を 東風子に 御馳走を
返事をする	さ と に は を 返事を 主人は 手紙に 及ばんさと、
研究を尽す	を 研究を
著述を居る	て より を 著述を 「依て 此間中より
著述を候う	て より を 著述を 「依て 此間中より
悪戯をやる	を 悪戯を
厚遇を受ける	が まで を かくまで 厚遇を 猫が
厚遇をいる	が まで を かくまで 厚遇を 猫が
返事をする	は を 返事を 　下女は
含嗽をやる	で を 含嗽を 毎朝風呂場で
酷評をやる	を 酷評を
挨拶をする	か と も を これも 挨拶を そうですか」と
講釈をする	か て に は も を 行っても 講釈を 「そうですか、 人には
講釈をする	て ね を 癖でしてね」 講釈を
苦心を買う	が と を 苦心を 読むと 僕が
苦心をくれる	が と を 苦心を 読むと 僕が
復讐をとる	と は を 主人は 大違いだ」と 復讐を
経験をする	から が に は を 解さないのであるが、 ものだから、 経験を 時には
経験をする	に は を 暮に 経験を 僕は
息をつく	と は を 聞かし玉え」と 主人は 息を
辛苦をする	を 辛苦を
真似をする	で を 席で 真似を
経験をする	を 経験を
ストライキを起す	が て に を 活気が ストライキを なって、 一度に
返事をする	と は を 私は 返事を 「はーい」と
談判をする	が と を 知らないが、 いでしょうと 談判を
手続きを踏む	を 手続きを
見物をする	から って を 見物を 教師だからって、
降参をする	と を 降参を 行こうと
註釈を加える	が を 迷亭が 註釈を
苦労をする	たり を 苦労を 聞かなかったり、
苦労をせる	たり を 苦労を 聞かなかったり、
世話をする	を 世話を
世話をせる	を 世話を
世話をする	を 世話を
相談をする	と を 相談を 細君と
約束をする	て を 全快して 約束を
覚悟をする	と を 考えると 覚悟を
覚悟をせる	と を 考えると 覚悟を
希望をする	を 希望を
希望をせる	を 希望を
妨害をする	が と を 妨害を つけると ゲーが
話を聞く	を 話を
回向をする	を 回向を
早死をする	は を 早死を よしは
いたずらをする	で は を 野良猫は 達者で いたずらを
いたずらをいる	で は を 野良猫は 達者で いたずらを
談話を聞く	を 談話を
談話を棄てる	を 談話を
身震いをする	て は を 吾輩は にたてて 身震いを
虐待をする	て を 知らずして 虐待を
同情を寄せる	から を 人間から 同情を
交際をする	を 交際を
発見をする	を 発見を
損害を償う	を 損害を
説教をやる	と は を 迷亭は さあ」と 説教を
説教をいる	と は を 迷亭は さあ」と 説教を
返事をする	から と ね を 返事を 世の中だからね」と
同情を表す	に を 同情を 細君に
同情をいる	に を 同情を 細君に
返答をする	て と ね は を 返答を 分りませんね」と 立てて 細君は
学問をする	を 学問を
弁護をする	と よ を あんなですよ」と 弁護を
定義をする	て を 開き直って 定義を
処置を付ける	を 処置を
処置をなる	を 処置を
挨拶をする	から を ものだから 挨拶を
返事を笑う	か は を 返事を 出来るでしょうか」迷亭は
返事をいる	か は を 返事を 出来るでしょうか」迷亭は
沈黙を守る	くらい も を 人間も 猫くらい 沈黙を
演説をする	で でも を 何でも 理学協会で 演説を
稽古をやる	を 稽古を
専断を憤る	を 専断を
挨拶をする	て ので を 落ちつき払って、 挨拶を いうので
前置をする	て と を 取り出して 前置を 願います」と
欠伸をする	と に は を いいさ」と 主人は 退屈そうに 欠伸を
返事をする	と と は を 返事を 事だ」と 主人は すると
絞殺を用いる	として を 処刑として 絞殺を
絞殺をする	を 絞殺を
欠伸をする	が と を 挟むのと、 主人が 欠伸を
同情を表する	て と は を 「もっともだ」と 引き較べて 主人は 同情を
調和を計る	から を 西洋人だから 調和を
調和を忘れる	を 調和を
敬意を表する	に を 鼻に 敬意を
挨拶を終る	を 挨拶を
返事をする	と は を 返事を 迷亭は なった」と
失礼を致す	を 失礼を
喧嘩をする	を 喧嘩を
談判を聞く	が で と は を 迷亭は 迷亭で 談判を ものであるが、 行くと
談判をいる	が で と は を 迷亭は 迷亭で 談判を ものであるが、 行くと
沈黙を守る	を 沈黙を
質問をする	て は を 質問を ようやく納得して 　鼻子は
研究をやる	て で は を 研究を しているのでございます」 「大学院では
研究をいる	て で は を 研究を しているのでございます」 「大学院では
質問をえる	で を 質問を これで
失礼を致す	て は は を 鼻子は 「これは 見えて、 失礼を
要求をする	と を 要求を 願います」と
返事をする	も を 返事を 主人も
噂をする	まで を 噂を 今まで
返事をする	と を 返事を 「へえー」と
訪問を受ける	を 訪問を
談話をする	て を 談話を 受けて、
撰をする	けれど で と は を 撰を 愚猫とは 猫だけれど、 猫で、
撰をいる	けれど で と は を 撰を 愚猫とは 猫だけれど、 猫で、
